timestamp,location,sensor,value
2023-12-31T19:12:00.000Z,zone-d,humidity,57.5
2023-12-31T19:15:00.000Z,zone-a,temperature,19.9
2023-12-31T19:37:00.000Z,zone-d,pressure,1017.1
2023-12-31T21:16:00.000Z,zone-c,light,340.1
2023-12-31T21:21:00.000Z,zone-c,temperature,18.2
2023-12-31T21:43:00.000Z,zone-d,temperature,17.9
2023-12-31T22:11:00.000Z,zone-b,pressure,1005.9
2024-01-01T01:30:00.000Z,zone-a,light,106.9
2024-01-01T06:45:00.000Z,zone-a,pressure,993.7
2024-01-01T07:18:00.000Z,zone-b,temperature,25.4
2024-01-01T11:46:00.000Z,zone-b,light,680.7
2024-01-01T13:00:00.000Z,zone-c,humidity,45.6
2024-01-01T13:04:00.000Z,zone-b,humidity,31.4
2024-01-01T15:03:00.000Z,zone-a,humidity,62.5
2024-01-01T15:30:00.000Z,zone-d,light,293.7
2024-01-01T15:46:00.000Z,zone-c,pressure,993.8
2024-01-01T19:26:00.000Z,zone-b,light,410.4
2024-01-01T19:48:00.000Z,zone-b,humidity,46.6
2024-01-01T20:43:00.000Z,zone-a,light,321.6
2024-01-01T22:38:00.000Z,zone-b,temperature,29.7
2024-01-01T22:44:00.000Z,zone-c,temperature,27
2024-01-02T00:32:00.000Z,zone-d,light,592.2
2024-01-02T01:36:00.000Z,zone-a,temperature,30.9
2024-01-02T05:38:00.000Z,zone-c,light,749.6
2024-01-02T05:57:00.000Z,zone-b,pressure,1009.3
2024-01-02T07:31:00.000Z,zone-c,pressure,1012.2
2024-01-02T09:20:00.000Z,zone-a,humidity,42.5
2024-01-02T10:08:00.000Z,zone-d,pressure,1002.4
2024-01-02T14:26:00.000Z,zone-c,humidity,40.5
2024-01-02T14:57:00.000Z,zone-d,temperature,21.4
2024-01-02T15:05:00.000Z,zone-d,humidity,53
2024-01-02T17:20:00.000Z,zone-a,pressure,1018.5
2024-01-03T01:39:00.000Z,zone-c,temperature,22.9
2024-01-03T03:48:00.000Z,zone-d,pressure,1013.6
2024-01-03T04:14:00.000Z,zone-b,humidity,30.7
2024-01-03T04:44:00.000Z,zone-c,humidity,74.8
2024-01-03T04:51:00.000Z,zone-d,light,241
2024-01-03T05:31:00.000Z,zone-c,light,379.1
2024-01-03T08:23:00.000Z,zone-a,temperature,28.7
2024-01-03T11:04:00.000Z,zone-b,pressure,1007.1
2024-01-03T11:28:00.000Z,zone-a,light,465.2
2024-01-03T12:12:00.000Z,zone-a,humidity,53.4
2024-01-03T13:13:00.000Z,zone-a,pressure,995
2024-01-03T13:22:00.000Z,zone-b,light,481.8
2024-01-03T14:28:00.000Z,zone-d,temperature,27.4
2024-01-03T14:30:00.000Z,zone-c,pressure,992.7
2024-01-03T16:14:00.000Z,zone-d,humidity,79
2024-01-03T17:04:00.000Z,zone-b,temperature,22.6
2024-01-03T18:39:00.000Z,zone-a,pressure,1004.5
2024-01-03T22:02:00.000Z,zone-d,humidity,45.9
2024-01-03T22:18:00.000Z,zone-d,temperature,20.8
2024-01-04T02:27:00.000Z,zone-b,pressure,1009
2024-01-04T02:35:00.000Z,zone-c,pressure,1008.3
2024-01-04T08:55:00.000Z,zone-c,light,713.8
2024-01-04T09:14:00.000Z,zone-c,humidity,66.2
2024-01-04T11:09:00.000Z,zone-b,temperature,23.7
2024-01-04T11:32:00.000Z,zone-d,light,585.3
2024-01-04T11:40:00.000Z,zone-a,humidity,48.1
2024-01-04T11:44:00.000Z,zone-a,temperature,20.2
2024-01-04T13:15:00.000Z,zone-d,pressure,996.6
2024-01-04T14:10:00.000Z,zone-b,humidity,62.5
2024-01-04T14:27:00.000Z,zone-a,light,595.8
2024-01-04T15:25:00.000Z,zone-b,light,265.8
2024-01-04T16:09:00.000Z,zone-c,temperature,31.5
2024-01-04T19:06:00.000Z,zone-a,light,488
2024-01-04T19:12:00.000Z,zone-a,humidity,38.9
2024-01-04T19:56:00.000Z,zone-d,humidity,45.2
